Regime,Forest_type,Species,Distance,DBH,Height,Stem_Volume,,
Community,Saal,Casearia graveolens,1,5,3.2,0.001570796,,
Community,Saal,Cleistocalyx operculatus,4,5,1.5,0.000736311,,
Community,Saal,Cleistocalyx operculatus,4,5,2,0.000981748,,
Community,STMHWF,Shorea robusta,3.5,5,3.5,0.001718058,,
Protected,Saal,Shorea robusta,3.5,5,8,0.003926991,,
Protected,Saal,Casearia graveolens,0,5,3.5,0.001718058,,
Protected,Saal,Shorea robusta,0,5,2,0.000981748,,
Buffer Zone CF,Saal,Holarrhena pubiscens,4,5.4,2.2,0.001259622,,
Buffer_zone,STMHWF,Shorea robusta,3.5,5.4,3,0.001717666,,
Buffer_zone,STMHWF,Shorea robusta,4,5.4,4.5,0.002576499,,
Buffer_zone,Saal,Shorea robusta,3.5,5.5,4.5,0.002672808,,
Buffer_zone,Saal,Lagerstroemia parviflora,3.5,5.5,3.4,0.002019455,,
Buffer_zone,Saal,Shorea robusta,5,5.5,23.5,0.013957998,,
Buffer_zone,Saal,Shorea robusta,6,5.5,6.8,0.00403891,,
Buffer_zone,Saal,Shorea robusta,4,5.5,4,0.002375829,,
Buffer_zone,STMHWF,Dillenia pentagyna,3.5,5.7,4.2,0.002679347,,
Buffer_zone,STMHWF,Shorea robusta,2,5.73,4,0.00257869,,
Buffer Zone CF,Saal,Shorea robusta,3,6,2,0.001413717,,
Buffer Zone CF,Saal,Shorea robusta,4,6,2,0.001413717,,
Buffer Zone CF,Saal,Holarrhena pubiscens,3,6,2.5,0.001767146,,
Buffer Zone CF,Saal,Holarrhena pubiscens,2,6,3,0.002120575,,
Buffer Zone CF,Saal,Holarrhena pubiscens,2.5,6,4,0.002827433,,
Buffer Zone CF,Saal,Dalbergia sissoo,1,6,4,0.002827433,,
Buffer Zone CF,Saal,Holarrhena pubiscens,0,6,4.2,0.002968805,,
Buffer Zone CF,Saal,Shorea robusta,4.5,6,2.5,0.001767146,,
Buffer_zone,Saal,Rhus wallichii,0,6,1.5,0.001060288,,
Buffer_zone,Saal,Carea arborea,0,6,3,0.002120575,,
Buffer_zone,Saal,Lagerstroemia parviflora,0,6,2.2,0.001555088,,
Buffer_zone,STMHWF,Casearia graveolens,3.7,6,4.2,0.002968805,,
Buffer_zone,Saal,Casearia graveolens,0,6,4.2,0.002968805,,
Buffer_zone,Saal,Shorea robusta,0,6,15.1,0.010673561,,
Buffer_zone,Saal,Shorea robusta,1,6,3.2,0.002261947,,
Buffer_zone,Saal,Shorea robusta,1,6,2.3,0.001625774,,
Buffer_zone,Saal,Casearia graveolens,0,6,6.3,0.004453208,,
Buffer_zone,Saal,Shorea robusta,2,6,3.5,0.002474004,,
Buffer_zone,Saal,Lagerstroemia parviflora,0,6,3,0.002120575,,
Buffer_zone,Saal,Carea arborea,3,6,3.1,0.002191261,,
Buffer_zone,Saal,Shorea robusta,4,6,3.1,0.002191261,,
Buffer_zone,Saal,Casearia graveolens,0,6,3.5,0.002474004,,
Buffer_zone,Saal,Casearia graveolens,0,6,3.1,0.002191261,,
Buffer_zone,Saal,Casearia graveolens,4,6,6,0.00424115,,
Buffer_zone,Saal,Shorea robusta,4,6,5,0.003534292,,
Buffer_zone,Saal,Cleistocalyx operculatus,5,6,4.5,0.003180863,,
Buffer_zone,Saal,Shorea robusta,0,6,6.1,0.004311836,,
Buffer_zone,Saal,Shorea robusta,2.5,6,6.5,0.004594579,,
Buffer_zone,Saal,Shorea robusta,8.5,6,10,0.007068583,,
Buffer_zone,Saal,Shorea robusta,3,6,5,0.003534292,,
Buffer_zone,Saal,Shorea robusta,4,6,3,0.002120575,,
Buffer_zone,Saal,Shorea robusta,4,6,4,0.002827433,,
Buffer_zone,Saal,Shorea robusta,0,6,3,0.002120575,,
Buffer_zone,Saal,Shorea robusta,0,6,3.5,0.002474004,,
Buffer_zone,Saal,Cleistocalyx operculatus,2,6,3.8,0.002686062,,
Community,Saal,Cleistocalyx operculatus,4.5,6,1.5,0.001060288,,
Community,Saal,Lagerstroemia parviflora,0,6,1,0.000706858,,
Community,Saal,Lagerstroemia parviflora,1,6,2.3,0.001625774,,
Community,Saal,Cleistocalyx operculatus,3,6,2,0.001413717,,
Community,Saal,Cleistocalyx operculatus,5,6,1.1,0.000777544,,
Community,Saal,Cleistocalyx operculatus,0,6,2.1,0.001484403,,
Community,Saal,Cleistocalyx operculatus,5,6,2.7,0.001908518,,
Community,Saal,Cleistocalyx operculatus,5,6,1.5,0.001060288,,
Community,Saal,Cleistocalyx operculatus,0,6,2.5,0.001767146,,
Community,Saal,Rhus wallichii,4,6,4.5,0.003180863,,
Community,Saal,Shorea robusta,0,6,1.5,0.001060288,,
Community,STMHWF,Shorea robusta,3.5,6,3,0.002120575,,
Community,Saal,Terminalia alata,0,6,4.5,0.003180863,,
Community,Saal,Cleistocalyx operculatus,0,6,2.5,0.001767146,,
Community,Saal,Cleistocalyx operculatus,3,6,1.3,0.000918916,,
Community,Saal,Casearia graveolens,0,6,2.2,0.001555088,,
Community,Saal,Cleistocalyx operculatus,0,6,1.1,0.000777544,,
Community,Saal,Cleistocalyx operculatus,2,6,1.3,0.000918916,,
Community,Saal,Cleistocalyx operculatus,3.5,6,2.5,0.001767146,,
Community,Saal,Cleistocalyx operculatus,3.5,6,4,0.002827433,,
Community,Saal,Cleistocalyx operculatus,3,6,4.3,0.003039491,,
Community,Saal,Cleistocalyx operculatus,1,6,1,0.000706858,,
Community,STMHWF,Dillenia pentagyna,3.8,6,5,0.003534292,,
Community,STMHWF,Shorea robusta,0,6,3.5,0.002474004,,
Community,STMHWF,Shorea robusta,3.5,6,4.5,0.003180863,,
Community,STMHWF,Lagerstroemia parviflora,4,6,5.3,0.003746349,,
Community,Saal,Cleistocalyx operculatus,0,6,2,0.001413717,,
Protected,Saal,Shorea robusta,4,6,3,0.002120575,,
Protected,Saal,Shorea robusta,4,6,3,0.002120575,,
Protected,STMHWF,Carea arborea,4.5,6,2.5,0.001767146,,
Protected,Saal,Cleistocalyx operculatus,3,6,2.5,0.001767146,,
Protected,Saal,Terminalia alata,3,6,1.5,0.001060288,,
Protected,Saal,Terminalia alata,5,6,2,0.001413717,,
Protected,Saal,Terminalia alata,4.5,6,1.5,0.001060288,,
Protected,STMHWF,Terminalia alata,0,6,3,0.002120575,,
Protected,Saal,Shorea robusta,1.5,6,6,0.00424115,,
Protected,Saal,Shorea robusta,3.5,6,9,0.006361725,,
Protected,Saal,Dillenia pentagyna,5,6,1.5,0.001060288,,
Buffer_zone,Saal,Casearia graveolens,0,6.2,6.2,0.004679559,,
Buffer_zone,Saal,Shorea robusta,5,6.3,4,0.003117245,,
Buffer_zone,STMHWF,Shorea robusta,3,6.3,4.5,0.003506901,,
Buffer_zone,Saal,Shorea robusta,2,6.4,3,0.002412743,,
Buffer_zone,STMHWF,Carea arborea,4,6.4,1.5,0.001206372,,
Buffer_zone,STMHWF,Carea arborea,4,6.4,1.5,0.001206372,,
Buffer_zone,STMHWF,Shorea robusta,3,6.4,5.2,0.004182088,,
Buffer Zone CF,Saal,Shorea robusta,2,6.5,6,0.004977461,,
Buffer_zone,Saal,Shorea robusta,2.5,6.5,7.9,0.006553657,,
Buffer_zone,Saal,Shorea robusta,4,6.5,9.5,0.00788098,,
Buffer_zone,Saal,Cleistocalyx operculatus,3.5,6.5,1.5,0.001244365,,
Buffer_zone,Saal,Shorea robusta,1.5,6.5,4.5,0.003733096,,
Buffer_zone,Saal,Shorea robusta,2,6.5,4,0.003318307,,
Buffer_zone,Saal,Shorea robusta,2,6.5,3.5,0.002903519,,
Community,Saal,Cleistocalyx operculatus,4.5,6.5,4.5,0.003733096,,
Protected,STMHWF,Cleistocalyx operculatus,4.5,6.5,5,0.004147884,,
Buffer_zone,Saal,Shorea robusta,3.5,6.6,3.2,0.002736956,,
Buffer_zone,Saal,Shorea robusta,3.2,6.9,5.2,0.004861065,,
Buffer Zone CF,Saal,Shorea robusta,0,7,2.2,0.002116648,,
Buffer Zone CF,Saal,Shorea robusta,0,7,2.5,0.002405282,,
Buffer Zone CF,Saal,Shorea robusta,0,7,2.2,0.002116648,,
Buffer Zone CF,Saal,Shorea robusta,5,7,5.4,0.005195409,,
Buffer Zone CF,Saal,Shorea robusta,2,7,3.8,0.003656028,,
Buffer Zone CF,Saal,Shorea robusta,0,7,5.1,0.004906775,,
Buffer Zone CF,Saal,Shorea robusta,3,7,2.3,0.002212859,,
Buffer Zone CF,Saal,Shorea robusta,3,7,2.6,0.002501493,,
Buffer Zone CF,Saal,Shorea robusta,4,7,5.6,0.005387831,,
Buffer Zone CF,Saal,Shorea robusta,4,7,7,0.006734789,,
Buffer Zone CF,Saal,Holarrhena pubiscens,2.5,7,4,0.003848451,,
Buffer Zone CF,Saal,Shorea robusta,1.5,7,3.2,0.003078761,,
Buffer Zone CF,Saal,Dalbergia sissoo,1,7,4.1,0.003944662,,
Buffer Zone CF,Saal,Shorea robusta,2.5,7,6,0.005772677,,
Buffer Zone CF,Saal,Shorea robusta,2,7,3.5,0.003367395,,
Buffer_zone,Saal,Shorea robusta,2.5,7,3.5,0.003367395,,
Buffer_zone,Saal,Cleistocalyx operculatus,4.5,7,3.5,0.003367395,,
Buffer_zone,STMHWF,Cleistocalyx operculatus,4.5,7,5,0.004810564,,
Buffer_zone,STMHWF,Cleistocalyx operculatus,4.5,7,4.5,0.004329507,,
Buffer_zone,STMHWF,Casearia graveolens,2.3,7,5.4,0.005195409,,
Buffer_zone,Saal,Shorea robusta,0,7,5.6,0.005387831,,
Buffer_zone,Saal,Shorea robusta,0,7,3.7,0.003559817,,
Buffer_zone,Saal,Cleistocalyx operculatus,4,7,1.5,0.001443169,,
Buffer_zone,Saal,Shorea robusta,7,7,13.8,0.013277156,,
Buffer_zone,Saal,Casearia graveolens,0,7,4.8,0.004618141,,
Buffer_zone,Saal,Shorea robusta,3.5,7,6.4,0.006157522,,
Buffer_zone,Saal,Shorea robusta,0,7,3.3,0.003174972,,
Buffer_zone,Saal,Shorea robusta,2,7,3.8,0.003656028,,
Buffer_zone,Saal,Shorea robusta,2,7,6.8,0.006542367,,
Buffer_zone,Saal,Shorea robusta,4.5,7,5.4,0.005195409,,
Buffer_zone,Saal,Shorea robusta,4,7,3.2,0.003078761,,
Buffer_zone,Saal,Shorea robusta,4,7,3.7,0.003559817,,
Buffer_zone,Saal,Shorea robusta,1,7,2.4,0.002309071,,
Buffer_zone,Saal,Shorea robusta,4,7,6.5,0.006253733,,
Buffer_zone,Saal,Shorea robusta,4,7,4.2,0.004040874,,
Buffer_zone,Saal,Shorea robusta,0,7,4.2,0.004040874,,
Buffer_zone,Saal,Shorea robusta,2,7,3.5,0.003367395,,
Buffer_zone,Saal,Casearia graveolens,2,7,5.2,0.005002986,,
Buffer_zone,Saal,Casearia graveolens,4.5,7,6.2,0.005965099,,
Buffer_zone,Saal,Shorea robusta,0,7,4.5,0.004329507,,
Buffer_zone,Saal,Casearia graveolens,4.5,7,6.1,0.005868888,,
Buffer_zone,Saal,Cleistocalyx operculatus,0,7,6.3,0.00606131,,
Buffer_zone,Saal,Shorea robusta,4.5,7,5.2,0.005002986,,
Buffer_zone,Saal,Carea arborea,4,7,5.1,0.004906775,,
Buffer_zone,Saal,Semecarpus anacardium,2.5,7,5.3,0.005099198,,
Buffer_zone,Saal,Cleistocalyx operculatus,5,7,4,0.003848451,,
Buffer_zone,Saal,Cleistocalyx operculatus,7,7,4.5,0.004329507,,
Buffer_zone,Saal,Shorea robusta,5,7,15.1,0.014527903,,
Buffer_zone,Saal,Shorea robusta,5.5,7,3.1,0.00298255,,
Buffer_zone,Saal,Shorea robusta,4,7,4,0.003848451,,
Buffer_zone,Saal,Shorea robusta,2.5,7,3.1,0.00298255,,
Buffer_zone,Saal,Shorea robusta,4,7,4,0.003848451,,
Buffer_zone,Saal,Shorea robusta,1.9,7,7.9,0.007600691,,
Buffer_zone,Saal,Shorea robusta,3,7,3.5,0.003367395,,
Community,Saal,Shorea robusta,0.5,7,2.4,0.002309071,,
Community,Saal,Casearia graveolens,0,7,2.5,0.002405282,,
Community,Saal,Cleistocalyx operculatus,2.5,7,3.2,0.003078761,,
Community,Saal,Cleistocalyx operculatus,4,7,2.8,0.002693916,,
Community,Saal,Shorea robusta,0,7,3.7,0.003559817,,
Community,Saal,Lagerstroemia parviflora,0,7,3.5,0.003367395,,
Community,STMHWF,Casearia graveolens,4,7,3.5,0.003367395,,
Community,Saal,Cleistocalyx operculatus,0.5,7,3,0.002886338,,
Community,Saal,Cleistocalyx operculatus,2.5,7,3.5,0.003367395,,
Community,Saal,Shorea robusta,0,7,4.5,0.004329507,,
Community,Saal,Cleistocalyx operculatus,0,7,1.5,0.001443169,,
Community,Saal,Cleistocalyx operculatus,4.7,7,2,0.001924226,,
Community,Saal,Cleistocalyx operculatus,0,7,2,0.001924226,,
Community,Saal,Cleistocalyx operculatus,5,7,4.1,0.003944662,,
Community,Saal,Cleistocalyx operculatus,3,7,4.5,0.004329507,,
Community,Saal,Cleistocalyx operculatus,3,7,4.2,0.004040874,,
Community,Saal,Cleistocalyx operculatus,3.5,7,4,0.003848451,,
Community,STMHWF,Cleistocalyx operculatus,0,7,1,0.000962113,,
Protected,Saal,Shorea robusta,3.5,7,3,0.002886338,,
Protected,STMHWF,Cleistocalyx operculatus,1.5,7,5,0.004810564,,
Protected,Saal,Cleistocalyx operculatus,0,7,3,0.002886338,,
Protected,Saal,Terminalia alata,5,7,3,0.002886338,,
Protected,STMHWF,Terminalia alata,3,7,3,0.002886338,,
Protected,Saal,Shorea robusta,2.5,7,2.5,0.002405282,,
Protected,Saal,Shorea robusta,2.5,7,3.5,0.003367395,,
Protected,Saal,Shorea robusta,3,7,4,0.003848451,,
Protected,Saal,Shorea robusta,3,7,5,0.004810564,,
Protected,Saal,Terminalia alata,2,7,1.5,0.001443169,,
Buffer_zone,Saal,Shorea robusta,1,7.01,4.8,0.004631345,,
Buffer_zone,Saal,Casearia graveolens,2,7.1,6,0.005938788,,
Buffer_zone,Saal,Shorea robusta,4,7.3,4.5,0.00470856,,
Buffer Zone CF,Saal,Shorea robusta,5,7.5,6.1,0.006737244,,
Buffer_zone,Saal,Shorea robusta,3.5,7.5,7.2,0.007952156,,
Buffer_zone,Saal,Shorea robusta,4,7.5,5.8,0.006405904,,
Buffer_zone,STMHWF,Shorea robusta,4,7.8,4,0.004778362,,
Buffer_zone,STMHWF,Carea arborea,3,7.8,1.7,0.002030804,,
Buffer Zone CF,Saal,Shorea robusta,0,8,2.5,0.003141593,,
Buffer Zone CF,Saal,Shorea robusta,2.5,8,3.2,0.004021239,,
Buffer Zone CF,Saal,Shorea robusta,5,8,6.8,0.008545132,,
Buffer Zone CF,Saal,Shorea robusta,4.8,8,4.2,0.005277876,,
Buffer Zone CF,Saal,Shorea robusta,4,8,3,0.003769911,,
Buffer Zone CF,Saal,Shorea robusta,4,8,1.5,0.001884956,,
Buffer Zone CF,Saal,Shorea robusta,4,8,5.3,0.006660176,,
Buffer Zone CF,Saal,Shorea robusta,4,8,2,0.002513274,,
Buffer Zone CF,Saal,Shorea robusta,2,8,3.2,0.004021239,,
Buffer Zone CF,Saal,Shorea robusta,5,8,13.5,0.0169646,,
Buffer Zone CF,Saal,Shorea robusta,4.5,8,4.2,0.005277876,,
Buffer Zone CF,Saal,Shorea robusta,3.5,8,1.5,0.001884956,,
Buffer Zone CF,Saal,Shorea robusta,0,8,23.7,0.029782298,,
Buffer Zone CF,Saal,Shorea robusta,3,8,9,0.011309734,,
Buffer Zone CF,Saal,Shorea robusta,5,8,6.8,0.008545132,,
Buffer Zone CF,Saal,Shorea robusta,3,8,6,0.007539822,,
Buffer Zone CF,Saal,Shorea robusta,4.5,8,5.6,0.007037168,,
Buffer Zone CF,Saal,Shorea robusta,6.5,8,5.4,0.00678584,,
Buffer Zone CF,Saal,Shorea robusta,5.5,8,8.2,0.010304424,,
Buffer_zone,Saal,Shorea robusta,0,8,3.2,0.004021239,,
Buffer_zone,Saal,Shorea robusta,0,8,3.9,0.004900885,,
Buffer_zone,Saal,Lagerstroemia parviflora,4,8,6.5,0.008168141,,
Buffer_zone,Saal,Cleistocalyx operculatus,0,8,4.5,0.005654867,,
Buffer_zone,STMHWF,Cleistocalyx operculatus,4.5,8,5.5,0.006911504,,
Buffer_zone,STMHWF,Cleistocalyx operculatus,4.5,8,5,0.006283185,,
Buffer_zone,STMHWF,Dalbergia latifolia,0,8,6.3,0.007916813,,
Buffer_zone,STMHWF,Casearia graveolens,0,8,4.3,0.005403539,,
Buffer_zone,STMHWF,Casearia graveolens,2.8,8,5.6,0.007037168,,
Buffer_zone,Saal,Shorea robusta,3,8,4.7,0.005906194,,
Buffer_zone,Saal,Shorea robusta,3.8,8,5.3,0.006660176,,
Buffer_zone,Saal,Terminalia alata,3.8,8,5.6,0.007037168,,
Buffer_zone,Saal,Cleistocalyx operculatus,0,8,2.4,0.003015929,,
Buffer_zone,Saal,Shorea robusta,4,8,1.5,0.001884956,,
Buffer_zone,Saal,Casearia graveolens,0,8,7.6,0.009550442,,
Buffer_zone,STMHWF,Shorea robusta,0,8,2.4,0.003015929,,
Buffer_zone,Saal,Shorea robusta,3,8,5,0.006283185,,
Buffer_zone,Saal,Cleistocalyx operculatus,2.5,8,7,0.008796459,,
Buffer_zone,Saal,Shorea robusta,2,8,7.1,0.008922123,,
Buffer_zone,Saal,Shorea robusta,4,8,6,0.007539822,,
Buffer_zone,Saal,Shorea robusta,4.5,8,6,0.007539822,,
Buffer_zone,Saal,Rhus wallichii,4.5,8,4.2,0.005277876,,
Buffer_zone,Saal,Shorea robusta,4,8,7.4,0.009299114,,
Buffer_zone,Saal,Shorea robusta,4,8,3.9,0.004900885,,
Buffer_zone,Saal,Shorea robusta,4,8,3,0.003769911,,
Buffer_zone,Saal,Shorea robusta,2,8,3.5,0.00439823,,
Buffer_zone,Saal,Shorea robusta,5,8,4.8,0.006031858,,
Buffer_zone,Saal,Shorea robusta,4,8,3.8,0.004775221,,
Buffer_zone,Saal,Shorea robusta,3.5,8,6,0.007539822,,
Buffer_zone,Saal,Cleistocalyx operculatus,2.5,8,6,0.007539822,,
Buffer_zone,Saal,Shorea robusta,5,8,7,0.008796459,,
Buffer_zone,Saal,Shorea robusta,3.5,8,6,0.007539822,,
Buffer_zone,Saal,Casearia graveolens,3.5,8,4.2,0.005277876,,
Buffer_zone,Saal,Shorea robusta,0,8,5,0.006283185,,
Buffer_zone,Saal,Dillenia pentagyna,5.5,8,4.1,0.005152212,,
Buffer_zone,Saal,Casearia graveolens,3,8,2.5,0.003141593,,
Buffer_zone,Saal,Casearia graveolens,0,8,2.1,0.002638938,,
Buffer_zone,Saal,Cleistocalyx operculatus,4,8,4,0.005026548,,
Buffer_zone,Saal,Shorea robusta,3.5,8,3.2,0.004021239,,
Buffer_zone,Saal,Shorea robusta,3.5,8,4.1,0.005152212,,
Buffer_zone,Saal,Rhus wallichii,4,8,4.6,0.00578053,,
Buffer_zone,Saal,Shorea robusta,0,8,4.5,0.005654867,,
Buffer_zone,Saal,Shorea robusta,5,8,3.5,0.00439823,,
Buffer_zone,STMHWF,Holarrhena pubiscens,0,8,3.5,0.00439823,,
Buffer_zone,Saal,Shorea robusta,7,8,4,0.005026548,,
Buffer_zone,Saal,Shorea robusta,4.5,8,10,0.012566371,,
Buffer_zone,Saal,Cleistocalyx operculatus,5,8,4,0.005026548,,
Buffer_zone,Saal,Shorea robusta,5,8,5.1,0.006408849,,
Buffer_zone,Saal,Shorea robusta,3,8,3,0.003769911,,
Buffer_zone,Saal,Shorea robusta,4.1,8,4,0.005026548,,
Buffer_zone,Saal,Shorea robusta,4.3,8,3,0.003769911,,
Buffer_zone,Saal,Shorea robusta,7.2,8,12,0.015079645,,
Buffer_zone,Saal,Shorea robusta,5.5,8,5.2,0.006534513,,
Buffer_zone,Saal,Casearia graveolens,3.5,8,5.4,0.00678584,,
Community,Saal,Cleistocalyx operculatus,0,8,2.5,0.003141593,,
Community,Saal,Cleistocalyx operculatus,4.5,8,3.5,0.00439823,,
Community,Saal,Cleistocalyx operculatus,5,8,3.2,0.004021239,,
Community,Saal,Cleistocalyx operculatus,5,8,3.2,0.004021239,,
Community,STMHWF,Cleistocalyx operculatus,0,8,3.4,0.004272566,,
Community,STMHWF,Cleistocalyx operculatus,0,8,1.5,0.001884956,,
Community,STMHWF,Cleistocalyx operculatus,5,8,3.4,0.004272566,,
Community,Saal,Lagerstroemia parviflora,0,8,2.5,0.003141593,,
Community,Saal,Shorea robusta,3,8,3.6,0.004523893,,
Community,Saal,Shorea robusta,0,8,3.5,0.00439823,,
Community,STMHWF,Casearia graveolens,3,8,3.5,0.00439823,,
Community,TMHWF,Cleistocalyx operculatus,0,8,5,0.006283185,,
Community,Saal,Cleistocalyx operculatus,2.5,8,4.5,0.005654867,,
Community,Saal,Cleistocalyx operculatus,3.5,8,4.5,0.005654867,,
Community,STMHWF,Cleistocalyx operculatus,2.5,8,4.3,0.005403539,,
Community,STMHWF,Cleistocalyx operculatus,0,8,3.5,0.00439823,,
Community,Saal,Terminalia alata,3.5,8,4.9,0.006157522,,
Community,Saal,Rhus wallichii,3.5,8,5.2,0.006534513,,
Community,Saal,Casearia graveolens,0,8,3.5,0.00439823,,
Community,Saal,Cleistocalyx operculatus,4,8,6.5,0.008168141,,
Community,Saal,Cleistocalyx operculatus,3,8,2.1,0.002638938,,
Community,Saal,Cleistocalyx operculatus,4.5,8,2.2,0.002764602,,
Community,STMHWF,Cleistocalyx operculatus,3.5,8,5.5,0.006911504,,
Community,STMHWF,Dillenia pentagyna,1.5,8,2.7,0.00339292,,
Community,STMHWF,Terminalia alata,0,8,4.3,0.005403539,,
Community,STMHWF,Cleistocalyx operculatus,1,8,4.3,0.005403539,,
Protected,Saal,Shorea robusta,2.5,8,4,0.005026548,,
Protected,STMHWF,Cleistocalyx operculatus,3,8,5,0.006283185,,
Protected,STMHWF,Cleistocalyx operculatus,6,8,16,0.020106193,,
Protected,STMHWF,Terminalia alata,4,8,5,0.006283185,,
Protected,Saal,Shorea robusta,1.5,8,3,0.003769911,,
Protected,Saal,Shorea robusta,3,8,3.1,0.003895575,,
Protected,Saal,Shorea robusta,3.5,8,4,0.005026548,,
Protected,Saal,Shorea robusta,5,8,4,0.005026548,,
Protected,Saal,Cleistocalyx operculatus,8,8,6,0.007539822,,
Protected,Saal,Cleistocalyx operculatus,7,8,5.5,0.006911504,,
Protected,Saal,Shorea robusta,0,8,2.3,0.002890265,,
Protected,Saal,Cleistocalyx operculatus,6,8,5.5,0.006911504,,
Protected,Saal,Dillenia pentagyna,2.5,8,4.5,0.005654867,,
Protected,Saal,Holarrhena pubiscens,0,8,4,0.005026548,,
Protected,Saal,Terminalia alata,0,8,2,0.002513274,,
Buffer_zone,Saal,Shorea robusta,2,8.2,8,0.010562035,,
Buffer_zone,Saal,Shorea robusta,0.5,8.4,6.4,0.008866831,,
Buffer Zone CF,Saal,Shorea robusta,3.6,8.5,10,0.014186254,,
Buffer_zone,Saal,Shorea robusta,6,8.5,6.7,0.00950479,,
Buffer_zone,Saal,Cleistocalyx operculatus,0,8.5,5,0.007093127,,
Buffer_zone,Saal,Shorea robusta,4.5,8.5,6.7,0.00950479,,
Buffer_zone,Saal,Cleistocalyx operculatus,2.5,8.5,4,0.005674502,,
Buffer_zone,Saal,Casearia graveolens,1.5,8.5,5.2,0.007376852,,
Buffer_zone,Saal,Cleistocalyx operculatus,4.5,8.5,6,0.008511753,,
Buffer_zone,Saal,Shorea robusta,2,8.5,4,0.005674502,,
Buffer_zone,STMHWF,Casearia graveolens,4,8.5,6.8,0.009646653,,
Buffer Zone CF,Saal,Shorea robusta,5.7,8.6,8,0.01161761,,
Buffer_zone,Saal,Shorea robusta,3.2,8.7,5.2,0.007728082,,
Buffer Zone CF,Saal,Cleistocalyx operculatus,2.4,8.9,8,0.012442278,,
Buffer_zone,Saal,Shorea robusta,1.5,8.9,4.5,0.006998781,,
Buffer Zone CF,Saal,Shorea robusta,2,9,5.5,0.008747372,,
Buffer Zone CF,Saal,Shorea robusta,10,9,13,0.020675607,,
Buffer Zone CF,Saal,Shorea robusta,6.5,9,5,0.007952156,,
Buffer Zone CF,Saal,Shorea robusta,8,9,16.5,0.026242116,,
Buffer Zone CF,Saal,Shorea robusta,3,9,6.2,0.009860674,,
Buffer Zone CF,Saal,Shorea robusta,3.5,9,6.4,0.01017876,,
Buffer Zone CF,Saal,Shorea robusta,4,9,7.2,0.011451105,,
Buffer Zone CF,Saal,Cleistocalyx operculatus,0,9,3,0.004771294,,
Buffer Zone CF,Saal,Shorea robusta,2,9,1.5,0.002385647,,
Buffer_zone,Saal,Shorea robusta,0,9,3.9,0.006202682,,
Buffer_zone,Saal,Rhus wallichii,0,9,4,0.006361725,,
Buffer_zone,Saal,Terminalia alata,4.5,9,6.9,0.010973976,,
Buffer_zone,Saal,Shorea robusta,4.5,9,5.5,0.008747372,,
Buffer_zone,Saal,Shorea robusta,3.5,9,5.5,0.008747372,,
Buffer_zone,STMHWF,Cleistocalyx operculatus,3,9,6,0.009542588,,
Buffer_zone,STMHWF,Cleistocalyx operculatus,4,9,9,0.014313882,,
Buffer_zone,STMHWF,Cleistocalyx operculatus,5,9,7,0.011133019,,
Buffer_zone,STMHWF,Dalbergia latifolia,3.5,9,5.7,0.009065458,,
Buffer_zone,Saal,Lagerstroemia parviflora,0,9,5.3,0.008429286,,
Buffer_zone,STMHWF,Casearia graveolens,2,9,5.2,0.008270243,,
Buffer_zone,STMHWF,Cleistocalyx operculatus,0,9,5.2,0.008270243,,
Buffer_zone,STMHWF,Semecarpus anacardium,2.6,9,4.8,0.00763407,,
